source	segment_index	date	time	result	mac1	mac2
rawlogs/TN131_LOG/10/log20260110/Log_All.txt	132	20260110	154716	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/10/log20260112/Log_All.txt	102	20260112	174501	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/10/log20260311/Log_All.txt	380	20260311	131751	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/10/log20260313/Log_All.txt	205	20260313	160803	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/10/log20260316/Log_All.txt	156	20260316	143958	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/10/log20260317/Log_All.txt	49	20260317	100845	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/10/log20260317/Log_All.txt	150	20260317	143733	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/10/log20260317/Log_All.txt	230	20260317	173025	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/10/log20260331/Log_All.txt	86	20260331	110706	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/10/log20260402/Log_All.txt	226	20260402	161916	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/20/log20260116/Log_All.txt	104	20260116	131143	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/20/log20260307/Log_All.txt	139	20260307	134345	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/20/log20260309/Log_All.txt	239	20260309	171158	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/20/log20260311/Log_All.txt	50	20260310	100707	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/20/log20260311/Log_All.txt	96	20260310	114512	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/20/log20260317/Log_All.txt	187	20260317	161157	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/20/log20260319/Log_All.txt	101	20260319	130732	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/20/log20260331/Log_All.txt	76	20260331	110750	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/20/log20260411/Log_All.txt	181	20260411	150021	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/30/log20260110/Log_All.txt	129	20260110	154202	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/30/log20260311/Log_All.txt	162	20260310	145341	FAIL	MAC1:	MAC2:
rawlogs/TN131_LOG/30/log20260311/Log_All.txt	196	20260310	162105	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/30/log20260311/Log_All.txt	428	20260311	161107	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/30/log20260331/Log_All.txt	17	20260331	090541	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/30/log20260402/Log_All.txt	230	20260402	165926	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/30/log20260411/Log_All.txt	90	20260411	110011	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260106/Log_All.txt	167	20260106	155225	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260107/Log_All.txt	162	20260107	155233	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260116/Log_All.txt	159	20260116	145302	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	101	20260310	112249	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	435	20260311	131907	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	436	20260311	133415	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	437	20260311	133613	FAIL	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	438	20260311	133804	FAIL	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	439	20260311	135346	FAIL	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	440	20260311	135508	FAIL	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	442	20260311	135839	FAIL	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	443	20260311	140017	FAIL	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	444	20260311	142656	FAIL	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	445	20260311	144801	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	452	20260311	151040	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	459	20260311	153808	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	460	20260311	153841	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260311/Log_All.txt	461	20260311	153910	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260312/Log_All.txt	131	20260312	141915	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260312/Log_All.txt	161	20260312	152039	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260330/Log_All.txt	456	20260330	143554	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260409/Log_All.txt	38	20260409	094516	STOP	MAC1:	MAC2:
rawlogs/TN131_LOG/40/log20260411/Log_All.txt	121	20260411	115052	STOP	MAC1:	MAC2:
